#{"t_start": 1652097607.303306, "env_id": "LunarLander-v2"}
r,l,t
-193.711906,470,109.000943
-90.458375,396,109.771661
-314.146199,475,110.526851
-202.660068,1000,113.663831
-134.072506,235,114.022787
-215.425891,1000,117.892649
33.696961,1000,121.396449
-91.967517,1000,123.767598
-224.638813,594,124.899823
-111.619789,1000,128.539606
-145.726153,1000,131.951313
-123.903904,1000,135.314973
-181.943304,1000,139.346649
-257.944909,1000,144.178862
1.659171,1000,148.84479
-174.731964,1000,152.012659
-189.778437,1000,154.117212
-148.611124,1000,156.984813
-270.318074,607,157.927414
-154.668732,1000,159.744944
-219.176442,1000,161.395215
-234.294394,506,161.963874
-165.538232,588,162.541902
-79.836479,1000,164.631002
